C0 C1 Cinter N sigmaAdd sigmaObs sigmaV sigmaX tpsInt rmseW
1.632812 1.999186 24.140719 1622.268207 1.266069 0.45807 0.332705 4.633939 24.910116 0.149529
1.516771 0.450662 43.544841 1336.515884 1.223629 0.744617 1.052078 2.184623 16.407806 0.087043
1.246049 0.331136 96.927902 1368.077564 1.644664 1.057073 0.265013 3.594134 11.859718 0.112923
0.517905 0.543385 78.924315 657.15598 1.843459 0.813835 0.17727 4.251797 12.809306 0.277577
1.353702 1.033384 97.375735 1140.102677 1.894614 0.752445 0.057814 3.05394 7.682873 0.197395
0.867972 0.751045 18.043027 1500.408522 0.924618 1.832837 0.97088 7.809857 15.92473 0.068481
0.692666 1.502725 58.988963 1495.267994 0.221308 0.698635 0.418065 10.071848 11.513286 0.03479
1.595749 0.605243 35.511909 2240.068331 1.528872 1.437991 0.330937 4.75259 28.703857 0.063337
1.875083 0.065962 18.081736 2384.412252 0.860198 0.945804 0.212883 6.84128 25.242802 0.041509
1.718956 0.796932 34.901946 2211.704236 0.520496 1.353823 0.803099 10.761035 23.213811 0.033056
0.385554 0.783674 86.655384 1489.873812 1.233241 2.070903 0.36259 2.323771 19.789383 0.064818
2.33568 0.092753 25.034636 743.280043 0.714819 0.199084 1.083954 1.142454 6.115888 0.081419
0.595799 1.049478 9.322305 2363.893489 0.415936 1.617468 0.455195 9.103419 27.936527 0.053536
1.554068 1.690015 73.503472 919.724161 1.463747 1.020662 0.608077 10.630946 6.347755 0.119469
0.798963 2.266944 44.34234 1708.588971 1.679866 1.209892 0.030425 7.771732 11.622604 0.119712
0.318406 0.189887 54.795784 1210.765817 1.017084 1.175311 1.091635 3.166575 27.329152 0.055774
0.6197 0.650908 95.854787 2472.10225 0.280618 0.806781 0.504552 2.549959 22.11578 0.027083
1.729002 0.155725 99.951271 686.513674 1.231558 1.725851 0.766049 0.2752 14.763368 0.10641
1.936276 1.605499 20.631161 509.631394 1.871278 1.819889 0.469858 0.052733 12.565422 0.159664
1.726136 1.320366 44.672849 2290.146322 1.438527 1.826734 0.919523 1.738886 11.062697 0.050007
0.982938 0.843766 61.215191 419.759882 1.568238 0.305237 0.798311 6.092133 17.749927 0.296446
1.178858 2.301829 93.588397 425.258973 1.664763 1.91586 0.027161 2.814743 11.857494 0.431206
2.393969 0.241934 54.873182 2177.215964 1.965442 1.025504 0.490578 2.269442 17.407843 0.119966
1.445746 0.006368 12.459991 2207.239799 0.345694 1.994667 0.134992 9.334725 5.289677 0.032375
2.17031 2.458964 22.052743 1311.375044 1.924818 1.246288 0.907414 9.656344 8.910118 0.147928
1.244584 2.134284 45.677627 669.038092 0.329291 0.23969 0.527816 0.363913 9.354687 0.11225
1.161579 0.977075 4.803757 419.297928 0.457887 0.817681 0.481531 1.438226 17.514637 0.093884
0.880806 0.36483 75.431362 2267.331247 0.664095 1.784235 0.612274 6.684491 29.803453 0.042541
0.622809 0.091051 65.125547 996.69107 2.009672 1.036409 0.908163 5.478545 7.469114 0.18575
0.763456 0.595304 98.777852 2236.707791 0.882954 1.851461 0.951167 2.833184 28.614054 0.043272
0.522478 1.079188 10.185824 1253.020717 1.811396 0.349837 0.695928 10.784176 5.823461 0.212318
1.185762 1.835301 17.603571 880.360531 1.151398 1.560992 0.762953 5.913712 13.693687 0.071992
0.448218 1.182478 53.677858 1154.701173 0.918246 1.024743 0.693089 2.046533 14.41467 0.134827
0.573396 0.027868 6.63956 1988.742692 1.846686 2.049879 0.414559 8.324552 10.945333 0.091837
1.356777 1.010053 66.928885 1708.508315 1.07652 0.133335 0.813935 9.641298 16.995027 0.092076
0.92395 1.23604 70.225629 2110.224645 1.719021 2.015203 0.173409 10.262618 16.539993 0.057729
1.460549 1.450998 99.714926 1890.678176 0.292717 2.032338 0.991862 10.807931 29.39518 0.045952
0.466586 0.956494 18.378225 2208.105049 1.392602 1.309808 0.99511 9.927982 25.648612 0.064674
0.380922 1.202748 63.492924 1706.465167 1.744964 1.531004 0.736837 7.857361 9.472724 0.097685
1.808652 0.83955 69.822395 1713.404662 1.258143 0.95399 0.618858 6.481559 14.437869 0.070774
1.006336 1.000639 32.327648 1787.057205 1.200894 1.681152 1.009266 8.367217 17.383529 0.051597
0.981019 1.14904 35.383036 1067.391484 1.3206 1.237755 1.094555 9.523662 19.258691 0.077344
0.614305 0.942941 18.898707 535.549414 0.455282 1.754503 0.064945 11.047413 10.00475 0.111747
1.218609 1.015032 10.548241 1911.251148 0.282877 1.238429 0.527274 2.693453 11.700653 0.052011
1.503243 0.100807 39.895636 524.365124 2.016047 0.948883 0.749918 3.538785 10.927052 0.251964
0.467486 1.863775 36.00168 1927.707357 0.389884 0.381125 0.794747 5.044273 16.75187 0.041439
1.408681 1.970912 61.125802 1795.546926 0.837383 1.382527 1.064944 5.418651 14.18351 0.043239
1.08711 2.377932 55.144417 1100.899084 0.772406 0.916121 0.780976 10.719202 29.574403 0.046855
0.567328 0.351118 59.493885 856.564477 1.455699 2.02019 0.348619 4.682822 25.683102 0.08555
2.325968 0.906503 31.388992 1910.159215 0.262891 1.551571 0.169314 5.697185 26.56301 0.058303
0.894318 0.332367 78.139673 1895.254542 0.324252 0.799935 0.040623 10.124829 14.275904 0.027476
1.094531 0.684604 59.762736 641.438155 0.238516 0.668985 0.448067 0.538436 16.20743 0.049004
0.821016 0.912764 84.490359 688.491202 2.005084 0.352041 0.515557 9.432733 20.462881 0.270348
1.261066 1.050476 77.637933 1679.247378 1.749938 0.585034 0.934968 6.652611 15.335015 0.140998
0.413131 0.869661 84.977118 2306.457036 1.221621 1.479686 0.459055 7.932284 26.366982 0.042333
2.000762 2.375465 66.126284 2153.575272 1.829585 1.458837 0.423126 4.110411 24.395523 0.076154
1.210254 0.187037 20.351972 779.179919 0.675908 0.659821 0.119842 6.89757 17.199674 0.059683
0.391198 2.03652 45.402945 1329.576664 1.229227 1.012924 0.67406 6.134219 26.350439 0.221668
1.17184 1.883517 67.581167 458.033104 1.571694 1.854561 0.444598 2.521939 24.849045 0.240826
1.488633 0.457343 53.141263 472.301302 1.752338 1.467088 1.001741 7.507781 10.019205 0.187659
0.976745 1.933035 86.83482 1123.630359 1.650688 1.801876 0.914646 9.067586 9.939387 0.072014
1.345433 0.100254 30.787695 1918.558682 1.738847 1.494567 0.843972 10.347386 15.794181 0.101359
0.859467 1.688235 98.810687 482.440581 1.844098 1.62462 0.840215 6.806012 10.933937 0.24304
0.956862 1.426472 14.884707 1885.736366 1.965255 1.302579 0.783934 6.099746 24.512069 0.1369
0.78986 1.529383 65.92561 1404.174799 2.08767 0.850116 0.774028 2.048515 24.958197 0.315706
1.307194 1.570457 81.307705 1726.6611 1.893072 0.983672 0.912697 2.950857 14.847073 0.147843
2.329052 1.197534 90.083103 1639.999009 0.281228 0.190912 0.087504 0.723454 21.792116 0.021793
1.859794 0.372843 19.346623 599.322408 1.019473 0.225867 0.853908 6.617827 9.325245 0.147777
2.121771 1.430938 99.804419 616.707109 0.15617 0.255572 1.016276 6.580117 21.427541 0.026479
1.844755 1.282981 80.04459 2270.971294 1.774507 1.857107 0.492444 6.586394 19.04445 0.048512
0.337166 0.061928 11.731099 982.466428 0.906786 1.503235 0.679024 2.102188 27.032519 0.071005
1.20284 0.95175 98.606766 751.386955 0.406791 1.559012 0.893994 5.032307 5.113002 0.065289
0.764673 1.674585 79.492865 1632.000711 2.011398 1.585557 0.938259 1.166929 20.090712 0.223302
0.95128 1.770612 21.70466 853.366402 1.058294 1.120179 0.680413 8.725759 10.301607 0.071662
0.605967 0.601342 94.627406 1026.076573 1.513913 1.629311 0.959652 11.045767 15.020566 0.06709
1.956877 0.737625 48.113909 2473.792778 1.216868 1.824697 0.653042 6.406061 9.891351 0.045174
2.465388 1.720734 98.414449 2264.931146 1.987386 1.09202 0.479971 1.732535 8.833625 0.114381
1.300856 2.247078 28.625862 1961.821989 1.086159 1.498017 0.171005 0.685637 27.355469 0.049028
1.516447 0.879878 36.936993 1339.308599 0.586487 0.253122 0.960472 6.773143 25.972713 0.051678
2.424407 2.319944 30.808918 2491.081708 1.276994 1.456523 0.305215 7.913211 19.313103 0.043988
2.17365 0.36935 68.401276 1037.159059 1.251756 0.162833 0.385894 10.566153 10.099584 0.13782
1.058618 0.359761 20.040861 470.51161 0.9513 1.024102 0.10832 2.814078 16.377938 0.098287
0.766999 0.922142 28.724288 1017.538416 0.809479 0.207421 0.561558 7.707341 26.592645 0.117094
1.942126 0.76138 83.083502 1610.99686 0.209236 0.456104 0.229164 5.459446 13.207168 0.020463
1.350924 0.147143 39.438436 1673.034336 0.514905 1.916794 0.265231 1.286874 14.345093 0.05139
1.08275 1.841359 16.6562 1276.629449 1.80692 1.14152 0.662203 5.484521 18.751376 0.196671
1.729329 1.964151 57.644782 2492.795797 1.333431 1.809067 0.677088 5.585903 16.653418 0.044083
1.307666 0.540409 38.012717 881.942318 0.280974 0.105893 0.956268 7.637095 27.04047 0.033941
1.091114 1.203352 21.825136 1997.245286 0.811125 1.369059 0.438475 0.495814 24.041287 0.047012
2.415909 1.440016 28.67677 1476.893871 1.395725 0.95318 0.700701 5.83531 5.561276 0.09079
2.129519 1.397727 89.140668 1942.606741 1.834302 1.338668 0.359385 3.920843 16.99451 0.088943
2.209657 0.993465 60.379608 1285.943332 0.77907 0.952082 0.775308 9.884012 9.073846 0.043453
1.139192 1.728649 61.853588 565.53131 1.066642 1.398238 0.907557 8.621513 7.263284 0.076286
0.638296 0.297423 19.20775 1003.366661 1.627965 1.704317 0.567975 5.760156 24.7951 0.095701
0.358464 1.885159 39.857053 1620.027085 1.552644 0.553767 0.26412 4.636632 7.128329 0.230712
1.011736 1.429088 84.271228 734.809281 1.827503 1.03826 0.564588 6.904991 15.028811 0.221616
0.631793 1.341294 59.040885 1302.177379 0.801787 2.077269 0.330955 10.237379 14.137182 0.066258
1.658005 1.15887 4.806267 1029.539749 0.465317 0.412626 0.587167 7.931879 6.791891 0.040208
2.000861 1.302523 43.555549 806.098936 0.763465 1.296423 0.416495 10.56264 22.251663 0.062549
0.996019 1.431016 53.35944 939.527618 1.062043 0.723978 0.276198 9.452028 11.543776 0.089789
0.451706 1.699521 98.559459 2220.264802 0.599913 2.003661 0.024082 3.262922 16.363522 0.050492
0.355771 1.603572 20.625046 1933.072343 2.012179 1.888233 0.97884 10.452727 21.627833 0.127882
2.295994 1.222976 40.389353 807.066445 1.636676 1.099388 0.755241 6.031889 11.496922 0.139709
2.038289 0.438478 78.390525 788.296995 0.967907 1.322932 1.043346 5.953187 23.740836 0.071321
2.31178 0.584136 71.177944 788.649732 1.397194 0.165509 0.249375 7.300146 11.01062 0.16731
2.485875 1.987873 11.87611 1429.465344 0.817551 2.058744 0.768887 2.020473 25.978389 0.08423
0.723419 0.354817 14.571178 1893.066983 0.150107 2.008655 1.087709 1.589652 18.242258 0.066289
0.827522 0.029825 69.643856 2234.823369 2.052092 1.987474 0.08576 4.573611 5.386753 0.100854
0.454618 0.092014 70.453278 472.887926 2.080893 1.445631 0.531587 0.425148 9.719796 0.21144
2.335647 2.378418 52.956262 755.459743 0.931281 0.544906 0.557014 9.568761 9.58852 0.098317
2.035577 1.593952 29.640193 436.113959 0.374895 1.694269 0.741485 10.108339 10.445579 0.098529
0.60848 0.910779 85.203712 429.439865 2.008716 0.681945 1.088185 6.984912 15.197279 0.465407
0.53818 1.227805 80.637538 1381.614941 1.908336 1.214542 0.312739 2.57993 21.165 0.261639
0.36727 0.058233 36.913678 2380.334645 0.860589 1.169039 0.698018 8.747868 22.867222 0.036425
0.589315 2.468141 10.941824 1420.008971 1.11493 2.025656 0.282385 7.756667 15.344058 0.057729
0.638115 1.726381 86.68892 2094.649434 1.779688 1.701074 0.288108 10.094439 25.7005 0.070609
1.665855 1.418455 52.648587 630.309271 1.811008 1.510389 0.514217 5.52468 13.291442 0.141046
2.356456 0.664038 67.437373 1296.48651 1.958203 0.679238 0.035736 4.335872 11.512329 0.172566
1.605992 2.353797 55.474736 752.326568 1.205829 0.909183 0.893213 6.640689 19.140583 0.114419
0.956203 0.608649 65.304062 1837.626629 0.428725 1.962036 0.804589 9.233061 16.539672 0.054697
0.326379 1.881535 88.822073 792.981056 1.660609 1.315546 0.095719 5.265497 25.802121 0.561246
1.287731 0.64944 65.838158 1565.504331 1.849818 1.394841 0.874388 3.798505 17.996814 0.099396
0.515635 0.347611 15.250432 1578.860927 0.331323 1.864814 0.594607 9.168634 5.944974 0.081992
1.762636 1.264884 11.403143 1672.670685 1.65332 0.468659 0.662691 2.393312 24.557824 0.191301
0.41393 0.512834 81.486169 1687.637978 1.881405 0.577831 0.607421 10.94015 11.800197 0.153194
2.233371 0.981859 42.745529 488.203327 1.54322 0.374999 0.604941 5.264901 5.588041 0.239154
0.852305 0.493613 66.853839 2420.806107 1.012043 0.399571 0.166594 7.756647 29.08167 0.065985
1.493829 0.467011 29.408314 2436.432881 0.159985 1.344826 0.46333 8.640582 12.987267 0.031367
2.229566 0.919876 84.082653 1589.709706 1.796245 0.903785 0.742387 10.776804 27.232142 0.135073
2.23571 0.562293 30.119526 2191.669232 1.865745 1.221047 0.001547 0.177501 5.904325 0.09396
1.429994 0.472047 98.602852 1702.950523 0.798422 1.365767 0.145336 3.548024 14.177361 0.042822
1.841316 1.247247 74.622093 1869.438668 1.285787 1.976642 0.59432 10.713899 8.234785 0.051536
1.070295 2.381263 90.826382 928.191263 0.654378 1.004317 1.075786 1.982269 17.082692 0.117609
1.760606 0.35959 11.314455 1386.719709 1.147523 1.890264 0.287982 6.508721 29.404812 0.062402
0.590601 0.1915 91.649587 1147.955249 0.851699 0.687085 0.278832 3.558628 19.626034 0.057441
2.128818 0.774993 83.709028 2039.660341 1.795711 1.327435 0.643556 5.377257 28.717298 0.092274
0.40193 1.306832 14.844162 2052.272677 0.936678 0.117826 0.676189 2.22368 23.631568 0.077738
2.198605 2.269115 47.822045 1558.621281 1.024134 0.623401 0.017781 8.227875 7.845214 0.070987
1.718009 1.047365 31.777531 1009.858526 0.331757 0.340833 0.406148 6.241606 12.360644 0.028606
1.084959 2.156886 79.62686 2039.868702 0.293061 0.215486 0.974474 8.310677 14.549841 0.02201
1.15925 0.917094 36.160508 2280.322508 1.62373 0.809815 0.539674 1.033622 27.344011 0.102641
2.29675 1.738467 23.345825 1622.329335 0.822228 0.328662 0.980349 5.774256 26.976298 0.071148
0.636537 2.066447 98.340219 1327.072541 1.713752 1.196477 0.699218 9.750189 14.051005 0.151616
0.37454 0.966832 24.933557 2245.425811 0.436647 0.844699 0.429775 8.134661 13.758226 0.028134
1.306853 0.516954 5.718726 1816.891666 1.143511 1.20893 0.152344 7.123641 23.911263 0.057003
0.387112 2.419547 89.533524 564.153612 1.809658 1.029976 0.36838 10.015047 7.46268 0.639948
1.165426 2.060081 43.191694 1195.689968 1.198933 0.537839 0.929556 3.88633 26.272797 0.183411
1.651144 2.236804 75.934244 884.382462 1.918057 0.757519 0.552241 8.573007 15.338829 0.227773
1.985322 1.581553 89.038884 1406.367214 0.403997 1.213245 0.158715 2.052 23.610334 0.047054
1.058612 0.018729 61.521327 515.106387 1.374682 0.438868 0.744911 0.825807 15.388578 0.170517
1.767316 0.488387 58.776097 2460.695509 0.232675 1.455403 0.331771 0.474306 9.865801 0.037362
0.971308 0.518439 43.369199 2428.442732 0.157616 0.226514 0.548595 10.6802 7.867944 0.011451
0.36806 1.684281 49.787543 2347.188958 0.670603 0.119235 0.448164 9.937466 18.686955 0.062045
1.393182 0.927104 83.554159 826.88606 0.573169 1.863126 1.065392 2.147073 25.687367 0.071308
1.83553 2.038044 90.133974 413.688313 0.87381 2.084103 0.630112 5.954323 19.689792 0.110693
1.08267 2.293534 10.763287 1952.504042 1.894532 1.229334 0.807739 1.219517 14.67485 0.300202
0.388258 2.253903 90.47723 894.655864 1.494053 0.600092 0.076227 5.395859 17.655411 0.333022
2.406161 0.993797 84.321218 2062.210143 1.068442 0.735628 0.627386 6.361161 6.643869 0.058893
0.710594 2.255188 78.645336 2497.596044 1.294392 1.174207 0.563038 6.642308 21.779619 0.061205
2.143603 1.464405 26.200294 1255.319703 0.475051 0.715802 0.238712 10.354734 27.691681 0.035003
1.187288 0.806842 35.597679 1704.182975 1.683706 1.722489 0.506565 10.073677 14.587576 0.064739
0.946641 1.382272 89.897723 1199.064483 0.387267 1.340235 1.030013 4.72913 27.728149 0.051136
0.387113 2.205996 12.152241 434.637477 0.164649 1.452119 0.057219 6.738874 25.118421 0.08559
1.62098 1.782078 57.488283 844.411326 1.650044 0.626932 0.644881 3.046668 15.264598 0.267925
1.164315 1.772165 23.901347 2406.056259 1.524435 0.292982 0.156879 2.152287 22.960456 0.133169
1.633853 1.811043 48.825877 426.055217 1.755933 1.070224 0.466591 8.658956 21.112314 0.268329
1.358316 2.266727 86.415997 820.994983 1.797403 0.459897 0.647879 2.066947 27.434438 0.312868
1.552209 0.875151 90.391743 964.465148 0.436487 1.362502 0.05468 1.469608 19.942757 0.058877
1.255373 1.389073 26.728599 1872.371445 1.79072 0.673507 0.07176 8.110411 20.179776 0.147656
0.967049 2.367085 40.600471 1575.265294 1.335505 1.05313 0.291901 0.253323 10.047436 0.249146
1.612765 1.962248 75.474223 2388.247186 0.499566 0.992335 0.440048 3.442521 8.575605 0.032457
1.141983 1.949789 20.775984 1312.289041 0.84634 1.185435 0.849967 9.073232 29.343795 0.04576
0.668075 1.260963 50.111012 1617.770177 1.960882 0.527536 0.549106 9.876328 13.838312 0.199726
0.570907 2.038086 70.396829 603.30902 2.064038 1.283135 1.039571 7.900703 13.939731 0.491695
2.172147 0.348912 26.618851 1971.37472 1.20632 1.730816 0.716952 7.901329 12.90436 0.053627
1.648651 0.353403 89.724564 1407.82493 1.785419 0.702393 0.21506 1.64901 15.735594 0.139872
1.054268 2.123981 28.154753 1903.59922 1.176254 1.410182 0.232404 8.519458 21.411914 0.047868
1.109217 0.252441 56.302089 1254.557613 0.877601 1.527754 0.09837 2.500176 9.530338 0.056557
2.260145 0.974982 48.008964 1792.997164 0.5573 0.223676 0.694764 5.866379 24.527875 0.043003
0.826754 0.851203 28.83678 2138.448036 1.933148 0.706236 0.957743 1.980028 11.816903 0.194526
2.358376 2.086579 42.687833 1428.562928 0.741264 0.44011 0.393118 10.394742 11.691041 0.055874
0.754783 0.187147 35.320843 1757.47389 1.996939 1.071392 1.079466 5.066145 22.624788 0.137032
0.516908 2.078093 69.740542 696.902987 1.093984 1.600925 0.58363 3.724294 27.971309 0.25457
1.844655 0.845358 96.209264 2050.265192 1.621861 1.837446 0.220053 0.480017 23.078046 0.059143
1.416586 0.923742 13.55513 1576.100333 1.283913 1.468553 0.405565 7.339604 28.85561 0.060265
1.372446 1.607937 46.62431 1980.89446 0.615064 1.21848 0.076044 3.969806 15.591094 0.045952
2.283762 2.292695 20.092994 930.092585 0.524434 0.674899 0.802273 1.135822 11.367667 0.046896
0.621847 1.558995 79.181949 2319.69402 2.000397 1.243767 0.222171 7.406904 29.708101 0.124199
1.737373 0.873048 61.251284 1754.573945 1.916574 0.151111 0.052097 0.941597 14.51601 0.155375
1.149 1.570273 65.701311 1835.546673 1.700789 1.842874 0.622198 7.153488 24.724668 0.055388
0.785148 0.385181 60.104008 1383.226106 1.548225 2.037476 0.883504 5.812645 11.528215 0.069674
1.053554 0.061586 98.158624 908.897277 1.246835 1.533629 1.090991 3.799363 25.412453 0.091224
0.727857 1.831308 12.780602 1215.363781 0.330884 0.144793 0.987247 10.12815 5.528502 0.057115
0.834702 0.073617 41.569125 899.213833 0.282815 1.860715 0.347268 8.689051 27.344627 0.051626
1.301469 2.248976 33.051407 582.015367 1.639586 1.711817 0.370879 9.456367 13.95773 0.109748
