predictors interp Dz Dt z_max normalisation metric linkage n_clusters CHindex
0 1 3 3 1 1 0 0 1 1.1146477373567045
1 0 2 1 3 1 2 2 1 1.0282532821075914
0 1 2 0 0 0 1 3 2 0.0011129756938163388
0 0 0 0 0 1 2 2 3 1.260897160641499
1 1 1 4 1 1 2 5 0 1.0317622399992044
0 0 1 2 3 0 2 4 1 0.544460062263919
1 1 1 1 0 1 2 4 5 0.8990339824668457
1 1 0 4 0 0 0 0 2 0.4629110341857989
0 0 0 0 1 0 1 3 4 0.00034570605573088967
0 0 2 2 0 1 2 4 4 0.9098827033866893
0 0 3 3 3 1 3 0 3 0.63186502490761
0 0 2 1 0 0 3 5 5 0.8214351875348375
0 0 0 1 1 0 2 4 1 0.7849746759084195
1 1 1 2 3 0 1 2 1 0.7489207492406489
1 1 0 1 1 1 0 3 3 0.00034053828402944887
0 1 2 2 3 0 1 2 2 0.43404250313165965
0 1 0 1 0 0 1 0 5 0.5499108026141584
1 0 1 0 3 1 0 0 4 0.9508516724626758
1 1 0 2 2 0 0 0 0 0.05773206952848262
0 0 1 1 1 1 3 3 1 0.0010590762164013764
0 0 1 1 2 0 3 0 2 1.4666855165582529
1 0 0 0 3 0 3 2 3 0.6346135039517077
1 1 0 0 3 1 0 0 0 1.1747028156432626
1 0 0 0 3 1 3 0 2 1.1222982087723088
0 1 0 4 0 0 2 5 1 0.7801353625298155
0 0 0 1 2 0 3 0 5 0.4180158403436748
0 0 0 1 0 1 0 3 2 0.005005346426616999
0 1 2 0 1 1 2 5 3 0.3517526954568554
0 0 0 1 3 0 3 0 3 0.3339591805429078
0 1 2 2 0 0 0 3 0 0.8371202778158523
0 1 0 1 2 1 1 3 5 0.01077612768760416
1 1 2 4 2 1 3 0 2 1.079053145779877
0 1 1 4 1 0 2 5 3 0.787856783180849
1 0 0 0 3 1 1 5 0 1.4524232448712147
0 1 1 1 0 1 2 4 4 1.1389392058292387
1 1 1 1 0 0 0 0 4 0.6482060762841634
1 1 3 3 3 0 2 4 2 0.8841519261637868
0 1 0 2 1 0 0 0 1 0.3040127456416448
1 1 2 2 2 1 3 0 2 1.101399657947375
1 1 0 0 0 0 2 0 1 0.3406570246054398
1 1 2 4 2 1 3 5 0 0.8829732507856559
1 1 1 0 0 0 1 3 4 0.0009975291432875804
0 1 0 4 3 1 3 0 3 0.6576633822793501
0 1 0 0 0 1 1 0 2 0.6043557856669513
1 1 0 0 2 1 0 5 5 0.7748842224068787
1 1 2 1 3 1 3 5 3 1.1149235395089703
1 0 1 2 3 0 1 5 2 0.49008642993454204
0 0 0 2 3 0 0 0 4 0.3196818280592357
0 1 1 1 2 0 0 2 0 0.3715202589667997
1 1 1 1 3 1 2 1 0 1.5752588248504837
1 0 1 2 2 1 0 3 1 0.001180878452630337
1 1 0 4 1 0 3 2 1 0.2718875327864881
0 0 1 0 1 1 0 0 4 0.635481025412872
0 1 0 2 0 1 1 0 0 0.6797463729895432
0 1 1 0 1 1 2 1 2 0.5706346037620571
0 1 3 3 3 0 0 3 1 0.0015671194840124122
1 1 2 0 1 1 2 5 4 1.0639749001579253
0 1 0 0 0 1 0 5 3 0.9146677483373705
1 0 3 3 2 1 0 0 0 0.5418308816034401
1 1 1 0 1 0 2 2 0 0.43663921536060024
1 0 0 1 1 1 2 0 4 0.7283601194072736
1 1 1 1 3 1 2 4 5 1.3183808994132538
0 1 1 0 1 1 0 2 4 0.7351475518796328
0 0 2 0 2 1 2 5 3 0.5168347343874131
1 1 1 0 3 0 3 3 3 0.00017925703121294813
1 1 1 4 1 1 0 5 1 0.713722200364856
1 1 0 4 1 0 3 0 2 0.5347450350442378
0 1 1 1 2 0 3 5 2 0.6203546920916856
1 0 1 1 2 1 0 0 4 0.7248230569076053
1 0 2 0 1 0 0 2 0 0.2816350077150476
0 1 2 1 3 1 2 4 4 0.9629389167407266
1 1 3 3 2 0 3 0 0 0.3517731831301054
1 0 3 3 0 0 2 3 2 0.02292198748917876
1 0 0 1 1 0 3 3 5 0.0009327770015072299
0 0 1 1 0 1 3 2 0 0.5068213111862685
1 1 2 2 3 0 0 0 1 0.25213993441685073
0 0 1 0 2 0 0 0 1 0.16883398158998308
1 0 2 1 3 0 1 3 4 0.031274183195471233
0 1 0 1 3 0 2 0 2 0.3142386298684359
0 0 2 1 1 0 1 5 5 0.5570593127096026
1 0 0 2 2 0 0 0 2 0.4010613965557934
0 0 2 1 2 1 3 0 4 0.4077337177678489
0 0 2 1 0 0 3 3 2 0.23386833882597652
1 1 1 4 3 0 3 5 5 0.6541363956862892
1 0 1 1 3 0 2 5 5 0.4723310783990253
0 0 1 0 1 0 2 3 4 0.0009656790347172122
1 0 1 1 1 1 2 2 1 0.8452150094024001
0 1 1 4 1 1 3 5 0 0.45936177194824274
0 1 2 2 2 0 3 5 0 0.38418742972625214
0 1 0 4 3 1 1 3 5 9.533044536385655e-05
1 1 2 2 1 0 3 3 4 0.09107374837659414
1 0 0 1 1 1 2 2 5 0.925995013705157
0 0 2 0 1 1 0 3 4 0.0010976805428536214
0 0 1 1 3 0 2 1 5 0.4465901600019546
1 0 1 2 2 1 2 0 0 0.17044401689264294
1 1 0 2 3 1 3 3 5 0.00043512546342342834
1 1 0 0 2 1 0 5 2 0.7290466480087385
1 0 1 1 3 0 3 3 5 0.026905017236963008
0 1 1 0 3 0 2 1 5 0.38260693237970905
0 1 1 1 1 0 0 2 5 0.7100410312868366
0 1 3 3 0 0 1 0 2 1.1181867058833872
1 0 1 0 3 0 2 4 3 0.6979406759260053
0 0 2 0 3 1 2 0 1 0.44731900448264983
1 0 2 1 3 0 3 3 5 0.026169352094665345
1 0 0 1 1 0 3 5 4 0.5889373241823985
0 0 2 0 1 0 1 0 3 0.6194355094234953
0 1 2 1 1 1 0 0 0 0.506555934280416
0 1 1 1 1 0 3 5 5 0.6558657828017418
1 1 0 1 0 0 2 4 4 0.7709806431454143
0 1 0 4 2 0 1 0 3 0.34361936313174124
0 1 1 1 3 1 3 3 1 0.015002607845715298
1 0 0 1 3 0 3 2 2 0.6634729678700315
0 1 2 0 0 1 2 0 4 1.0227149210930624
0 0 0 2 1 1 1 0 5 0.5626003040152479
0 0 0 0 3 1 3 0 1 0.4699098292863056
1 1 3 3 0 0 3 0 3 0.6674875036698495
0 0 2 1 2 0 0 5 0 0.13822403187354912
1 1 2 4 0 1 2 2 5 0.9250488531279161
0 0 2 2 1 0 2 3 0 0.0037731883891184955
0 1 3 3 3 1 1 5 5 0.7173911931029212
0 1 2 4 2 0 1 0 0 0.37198238122049065
0 0 2 2 1 0 1 5 4 0.5472375357506543
1 0 2 1 1 0 3 2 0 0.33872608066252924
0 1 2 1 2 1 2 1 2 0.7529070961537918
1 0 2 2 0 0 0 5 0 0.43775150659643514
0 0 0 1 3 1 0 3 3 0.0003240059593647559
1 1 2 1 1 1 1 3 4 0.06058648244054133
1 1 0 1 2 0 0 2 4 0.48716441637917235
1 0 0 2 0 0 3 3 2 0.001517290632280522
1 0 2 0 3 1 0 0 2 1.1886303196060561
0 0 2 2 3 0 0 5 0 0.18152464155331233
1 0 3 3 1 0 2 5 1 0.3890316747835345
0 1 0 2 0 1 1 5 2 1.0527218770888616
1 1 3 3 1 0 2 1 1 0.2051358729821886
1 0 0 1 1 0 0 2 1 0.504810858570255
0 1 2 1 2 0 2 5 5 0.5429257722410499
0 0 0 0 0 0 2 3 4 0.0006844229280489383
0 1 1 0 2 0 3 3 0 0.0012053955075311405
0 1 2 0 1 1 1 5 2 0.5543897215933357
0 1 2 2 2 1 2 0 4 0.667963671730482
1 1 1 0 0 1 1 2 3 0.7360697102275112
0 1 0 0 1 0 2 2 4 0.811767608174281
0 0 0 0 1 1 3 3 1 0.00035033154103855896
1 1 0 2 2 1 2 3 4 0.0009043904952411087
0 0 1 2 1 0 0 2 2 0.553206418140239
0 0 0 1 3 1 0 0 4 0.5233367700871592
1 1 0 1 0 1 0 2 5 0.853857196281327
1 0 2 0 1 0 0 5 3 0.3155913339606982
0 0 3 3 1 0 2 1 1 0.3300535701098768
1 1 2 2 1 1 2 2 1 0.8191889800623449
1 1 2 0 2 1 1 2 1 1.032616136318055
1 0 1 2 0 1 0 5 5 0.6308799680608128
1 1 0 2 1 0 2 5 1 0.6654490442529023
0 1 2 1 2 0 2 0 3 0.235119435822979
0 1 2 0 2 1 3 5 0 0.3083211265472545
1 1 2 4 3 0 3 2 1 0.6881389238394598
1 0 2 0 0 1 2 3 1 0.0004387010564461729
0 0 0 0 2 0 3 3 2 0.0002632470148776955
1 1 1 0 2 1 2 3 2 0.00014466027383043396
0 0 1 1 1 0 1 5 2 0.5623366565357995
1 1 2 0 0 1 0 5 5 0.8018021586673768
0 1 1 4 3 0 2 5 2 0.38143962667468795
0 1 2 2 1 0 0 0 3 0.6648468073885431
0 0 2 0 0 1 0 2 3 0.7858467160382585
0 0 0 0 1 1 1 3 0 0.0003419193944980698
0 0 3 3 0 0 0 2 4 0.9011969983001891
1 1 2 4 3 0 0 3 0 0.00017877853713368837
1 0 1 0 2 0 2 4 1 0.48231190953702596
1 0 1 2 0 0 0 3 4 0.0034816806576656828
0 1 2 1 0 1 1 2 5 1.0716814926169698
1 1 1 4 0 1 3 3 5 0.0003872958332820042
1 0 1 1 2 0 1 0 0 0.24510962728236213
0 0 0 1 3 1 2 0 1 0.07003740081399223
0 0 0 0 3 1 1 3 5 0.00018242332085940304
0 1 0 4 3 1 3 2 1 0.7547230130680785
0 0 0 2 0 0 2 3 4 0.02363437828618202
0 0 0 1 0 1 0 0 3 0.8177069890796937
0 1 0 2 3 0 3 2 3 0.5685683967163948
0 1 0 2 3 0 1 5 3 0.33012325312476737
0 1 3 3 1 1 0 2 3 1.0281802527944612
0 1 0 4 3 0 3 2 5 0.38668136973017225
0 1 1 0 2 0 0 2 0 0.385510940576557
0 0 2 1 1 1 0 5 4 0.544912384496722
1 1 0 1 0 0 1 2 0 0.5416226431635633
1 1 3 3 3 0 3 0 2 0.9331646583023372
0 0 1 2 3 1 1 0 0 0.10853648714160985
1 1 0 2 1 1 1 3 1 0.0005170404762254284
1 0 2 0 1 0 2 3 4 0.0007857017958858608
0 1 2 1 3 0 2 3 1 0.03446283238280385
1 0 2 2 2 1 2 2 4 0.6760650110955646
0 0 1 0 2 1 0 2 2 0.6476876188159998
1 1 2 4 1 0 1 5 5 0.5957079956120575
0 0 1 1 3 0 3 5 1 0.2476601488956865
1 0 0 1 2 1 1 3 1 0.00023870421138573854
1 1 2 1 3 1 2 1 5 1.0581575566659736
1 1 2 1 0 1 2 1 0 0.42803659428729307
0 1 2 1 2 1 2 2 1 0.942373011901509
1 0 1 0 1 0 2 1 2 0.5155728811580921
1 0 0 1 0 1 0 2 3 0.665915419601891
1 1 0 4 1 0 0 5 0 0.39749441614462705
1 0 2 2 2 1 1 0 2 0.9367641758077988
0 0 0 1 2 0 2 1 3 0.41065644462586154
1 0 0 0 2 1 0 3 0 0.00010445218164994787
0 0 0 0 1 1 3 0 5 0.5752272919744591
1 1 2 4 3 1 0 3 5 0.00023014118890354223
1 0 3 3 1 1 3 2 1 0.7212794220845228
1 0 0 1 0 1 2 5 4 0.7078655550227958
0 0 1 0 0 0 3 0 3 0.441660162363475
0 1 1 2 2 1 3 5 2 0.6534449928124273
0 1 1 0 1 0 2 2 0 0.48841197827728106
1 1 0 0 3 0 2 0 5 0.53787219985895
0 1 2 0 3 1 0 3 4 0.00032369610662123474
0 0 1 1 3 1 0 2 5 0.6521088739157225
0 1 1 2 1 1 2 4 5 0.9675624938968921
1 0 3 3 2 0 0 2 5 0.7305951944852558
0 0 3 3 0 1 1 2 1 0.7632744644836137
1 1 1 4 1 0 0 2 4 0.6183107971641336
0 1 1 4 1 0 0 3 0 0.0011808031260072383
1 0 0 1 3 1 3 2 1 1.1023732300885765
0 1 3 3 2 1 2 4 5 3.9812306465071017
0 0 1 2 3 0 1 5 2 0.331454461595827
0 1 2 2 2 1 3 0 2 0.6946069821276907
0 0 0 1 2 0 1 2 2 0.5670991609369156
0 1 2 4 0 0 3 2 2 0.8061276030046652
1 1 3 3 2 0 2 5 0 0.4886197053204439
1 1 0 2 0 1 2 2 3 0.7762537398720696
0 1 2 4 1 0 2 4 5 1.0363250063660014
1 1 0 1 1 0 0 5 5 0.6893990327498725
1 0 0 0 0 1 1 2 4 0.7611098483773353
1 1 2 2 2 1 3 2 4 0.8553119162802387
0 1 2 1 2 1 2 0 4 0.6686286707024346
1 1 2 0 3 1 1 2 0 1.7579060268597895
1 1 3 3 0 1 3 5 5 0.9037396826238939
0 1 2 0 3 0 2 3 4 0.0006073384070491768
1 1 2 1 0 0 0 2 0 0.5367161222546046
0 0 2 2 1 0 2 3 0 0.0037731883891184955
1 0 2 2 0 1 1 3 0 0.00490552431909569
1 0 0 0 3 1 3 3 4 0.0001364870918959284
0 1 3 3 3 1 0 5 2 0.7011443673476332
1 0 2 1 2 1 2 5 4 0.6363518526234125
1 0 3 3 3 1 2 4 4 1.1081015651779322
0 1 2 4 3 0 1 2 3 0.5967737307939209
0 1 2 0 0 1 1 3 0 0.0010208960266451241
1 0 3 3 1 1 1 3 5 0.09531444386787397
1 1 3 3 3 0 3 2 3 0.7090405500027023
1 1 2 4 1 0 0 5 1 0.4932515442795973
1 1 0 2 0 0 3 2 0 0.5116344680669456
0 0 1 2 2 0 3 0 1 0.6290131899264795
0 1 0 1 3 0 1 0 5 0.520564496872365
1 0 1 2 0 0 2 1 4 0.5666632206991147
1 0 0 1 3 0 2 3 1 0.000807738859578454
0 0 1 0 2 1 1 2 5 0.683243853069613
0 0 1 2 2 0 0 5 4 0.4380273850065097
0 0 3 3 1 1 0 5 5 0.9378529560714202
1 1 1 4 0 1 2 5 3 0.7151885549309137
0 1 0 2 3 1 3 0 5 0.6207600199282621
0 0 3 3 0 0 2 1 2 0.6001907583708357
1 1 2 1 3 0 0 3 4 0.012448008556218837
1 0 2 1 2 1 3 5 5 0.6709464107514758
0 0 0 1 3 0 1 3 0 0.0002611561547802812
0 0 2 2 1 1 2 5 4 0.8424071415581038
0 0 3 3 2 1 3 2 2 2.8185818598298615
1 1 0 0 0 0 1 2 4 0.7079724102362799
0 1 1 4 2 0 0 3 3 0.0005702232852264185
1 1 1 2 0 0 1 0 5 0.6785485899531214
1 1 1 0 2 0 2 3 4 0.0003065633237841583
0 1 0 2 3 1 3 2 3 0.6958226121706871
1 0 0 1 2 1 2 1 3 0.9089266640515598
0 0 1 0 0 0 0 0 2 0.41137174523749837
0 1 3 3 1 1 2 1 5 0.6862107132535629
1 1 1 4 0 1 2 4 4 0.966796022968615
1 0 0 1 1 0 2 4 1 0.6800816215640867
0 0 0 1 1 1 2 2 3 0.7316810658543161
0 0 0 2 3 1 3 0 5 0.5167583037101221
1 0 2 1 1 1 2 1 5 0.7899955922508484
0 0 0 2 1 0 1 2 1 0.6758416468042291
0 1 2 2 0 0 1 3 1 0.4567641404099178
1 1 0 4 0 0 0 0 5 0.4610610224570634
0 1 2 1 3 1 2 5 0 0.7531605091372352
1 1 2 0 1 0 2 5 2 0.6835494477430961
0 1 1 1 3 0 2 4 4 0.7926485767827892
0 1 2 0 0 0 2 2 0 0.8194223843786232
1 1 0 4 2 0 0 0 5 0.3255943618241203
1 1 1 0 2 0 2 1 1 0.40800000080036913
1 0 3 3 3 1 1 0 4 1.1395365991721866
0 0 1 1 0 1 1 0 3 0.9002432125717903
1 1 1 0 3 0 2 2 2 0.6621674930670481
1 0 2 2 1 1 2 2 1 0.4696731839347846
1 1 2 0 3 1 0 3 3 0.0002814989205101554
1 0 1 1 0 0 2 3 2 0.0009044301962525494
1 0 0 2 2 1 2 5 0 1.01401779703826
0 1 2 1 2 1 1 5 2 0.6959781708309213
1 0 0 2 0 1 0 2 5 0.7188435933212611
0 0 3 3 2 0 2 2 5 3.1580847785768382
0 1 3 3 3 0 2 3 0 0.0014889580183538363
1 1 0 2 3 0 3 2 3 0.548802646671274
1 1 0 1 1 1 1 3 5 0.0005010337893831906
0 1 2 1 1 1 2 5 2 0.8152132429225319
1 0 3 3 2 1 3 3 4 0.1941703955909341
1 0 1 2 2 1 3 2 5 0.7763443667362373
0 1 2 2 3 1 0 2 0 0.9556681619349661
0 0 2 1 2 0 0 0 4 0.3888636081065795
0 0 2 2 2 1 1 5 1 0.46710712454428954
1 1 0 1 1 0 2 5 5 0.5336643916904644
0 0 2 0 3 1 0 3 0 0.0022191777846345415
0 0 0 2 3 0 1 0 2 0.17089824151751506
1 1 0 2 3 0 1 5 3 0.7593868332323465
1 0 2 0 1 0 2 3 0 0.000604026349855758
0 0 2 1 2 1 3 2 2 0.6555029959163792
0 0 2 2 1 0 1 5 3 0.5850676649641207
0 0 1 2 3 1 2 0 2 0.7225818225520242
0 0 2 1 3 1 3 5 2 0.5858900079299254
0 1 1 0 1 1 1 2 0 0.44782316893134566
1 0 1 0 3 0 0 3 0 0.00024669875209326197
1 1 0 0 2 1 0 0 0 0.20768601763216563
1 1 1 0 2 1 3 3 5 0.00024796009070447613
0 1 0 4 3 0 1 2 3 0.5180268089188168
1 1 1 1 1 0 0 3 4 0.08557511913581232
0 1 0 2 1 0 1 0 2 0.5144517126226545
1 0 1 1 0 0 1 5 0 0.5788818602862003
1 0 2 1 0 0 3 3 0 0.40110004329635374
0 1 1 0 0 0 3 3 2 0.0013891653088800244
1 0 0 0 0 1 0 0 3 0.6299574104110597
1 1 2 4 0 1 1 3 4 0.0015239982968166272
1 0 2 2 1 0 2 5 1 0.5988974755848823
0 0 0 2 2 1 2 0 5 0.4337649297257187
0 1 2 1 3 0 2 3 5 0.04311479904433584
0 1 1 4 1 0 0 0 0 0.523269247627342
0 1 2 0 1 1 3 2 3 0.7294435632156144
1 1 1 4 1 0 3 3 0 8.943605388012354e-05
1 1 1 2 0 0 1 0 4 0.7110105109738686
0 0 1 1 1 1 2 2 2 0.7852465981645483
1 0 0 2 0 0 0 5 0 0.5031222201930072
0 1 0 2 3 1 1 5 5 0.6095844257346609
1 0 1 0 0 0 2 4 2 0.6472461294097598
0 0 1 0 0 1 0 0 5 0.82531909596385
0 0 2 2 0 1 0 3 0 0.0035079842347969957
0 1 0 2 2 0 3 0 4 0.19307186183949201
0 1 2 2 3 1 2 0 3 0.7835376713606698
1 1 2 0 0 0 1 5 4 0.8592837855726608
0 0 1 0 0 1 2 0 2 0.6870572067753151
1 1 1 2 2 0 0 3 2 0.09915396076186464
0 1 0 1 2 0 0 2 5 0.7093507743182075
1 0 2 1 2 0 0 5 2 0.34763464526870635
0 1 2 4 1 1 1 5 5 0.7254262287506328
1 1 2 4 3 1 1 0 0 1.504701711628734
0 1 2 0 3 1 1 0 5 0.6624916863408327
1 1 1 4 2 1 0 5 5 0.876852764128734
0 0 0 2 0 0 2 1 2 0.7366422459416612
1 1 1 1 1 1 3 3 3 0.000500158812125851
1 0 2 2 2 0 1 5 2 0.6116094564341559
0 1 0 0 2 1 2 2 0 0.28269451785885996
0 0 0 1 0 0 0 5 1 0.7708093720401025
1 1 0 2 0 0 0 5 1 0.33074359860721875
1 0 0 0 0 0 2 0 4 0.40679562213181436
0 0 3 3 2 0 2 1 5 2.1169402237012016
1 1 2 4 0 0 1 5 2 0.8165756708997074
0 1 1 2 0 1 0 2 3 0.7045501219943451
1 1 2 0 3 0 3 3 3 0.0004887589905588465
1 1 0 1 0 1 2 5 5 0.7477576639908764
0 0 0 1 0 1 0 0 3 0.8177069890796937
0 1 2 1 1 1 0 5 2 0.4859570980252135
0 0 3 3 2 0 2 4 1 3.909199039452763
0 0 0 1 3 0 1 0 0 0.186408736796756
0 1 1 4 3 0 3 2 5 0.5451092011410837
1 1 1 4 1 0 2 4 5 0.6895657676486869
0 1 0 1 1 1 0 0 4 0.7923055362043687
0 0 0 0 3 0 3 2 1 0.38658110073946045
1 1 2 0 3 1 1 5 0 1.5212051402075732
1 1 3 3 0 1 3 3 3 0.09286507652782905
0 1 0 4 3 1 2 2 4 0.6662357306004022
0 1 2 1 0 1 1 0 2 0.7208306121837305
0 0 1 2 3 0 2 5 0 0.0906304313686021
1 1 1 0 0 0 2 2 2 0.6948182216979832
0 0 0 2 0 1 1 0 2 0.6183964517089074
0 1 0 4 2 1 3 5 3 0.6877734712156456
1 1 1 4 0 1 2 5 2 0.9002236172149908
0 1 2 2 2 0 2 3 2 0.033745819679593156
1 0 1 1 1 1 2 0 4 0.7118793204064989
0 0 0 2 2 0 3 2 1 0.6638871270352911
1 0 1 0 0 0 1 0 0 0.4884164222255077
0 0 0 0 1 1 0 0 2 0.2837538137322393
0 0 1 1 3 0 3 2 5 0.6903714855600475
0 0 0 0 1 1 0 5 3 0.6849011380762196
1 0 0 2 3 0 1 5 5 0.5802704044684696
1 0 0 0 3 0 3 5 2 0.5012650265410356
0 0 2 1 1 1 2 1 0 0.37135678686263757
1 1 0 4 0 0 2 5 0 0.5064675266121822
1 1 2 4 1 1 2 1 2 0.8707972323992677
1 1 0 0 1 0 0 2 0 0.40512233236277523
0 0 1 2 0 0 0 3 3 0.035409280721421105
0 1 0 1 3 1 1 5 1 0.37249824166917633
0 1 0 2 0 1 1 5 1 0.8370404605489274
1 0 2 1 2 0 2 0 2 0.2824225960685177
1 0 1 2 2 1 1 5 1 0.8003963988012933
1 0 1 0 3 1 0 5 1 0.7414574950794811
1 0 2 2 0 0 2 5 4 0.6782027319188554
1 0 0 2 1 0 3 0 0 0.36560044198360997
0 0 0 0 3 1 1 5 2 0.5846204351189394
1 1 2 2 1 0 3 0 0 0.43017940142411365
0 1 1 0 2 1 0 0 5 0.5624147322814783
1 0 1 1 0 0 2 0 2 0.7544927953941799
1 1 0 2 0 0 2 4 1 0.845646987968257
0 1 3 3 1 1 3 0 0 0.49131049197025245
1 0 1 1 2 1 2 0 1 0.7901478861399828
0 1 0 0 2 0 0 2 4 0.6442987396865406
1 0 0 2 0 1 0 3 4 0.011151918973618618
0 1 1 2 2 1 2 1 5 0.5442095163086013
0 0 0 2 2 1 2 4 5 0.7537421254222985
0 1 2 0 3 0 2 1 1 0.4472307198690531
0 1 1 2 2 0 2 3 4 0.08331716965405463
1 1 1 1 3 1 2 0 5 1.0880765631957572
1 1 3 3 0 0 0 3 3 0.05869798491443438
0 0 1 0 2 1 2 1 3 0.5469223621757762
1 1 0 4 2 1 2 3 5 0.0001366352287062714
1 1 2 2 2 1 0 2 4 0.89061726587126
0 1 1 0 0 0 2 3 1 0.001858633863232833
1 0 2 0 0 1 2 3 2 0.0005950910129436906
0 1 0 4 1 0 2 0 3 0.4652486157429691
0 1 2 4 0 1 3 2 3 0.833032975604495
1 1 2 4 0 0 2 0 1 0.9392388793864798
1 1 3 3 2 0 0 0 3 0.4463192241668332
0 0 2 0 0 0 3 0 2 0.7134108566413226
0 1 2 2 0 0 2 5 2 0.9454275818552365
1 0 0 1 0 0 2 0 4 0.7046568462625359
1 1 2 1 1 1 3 0 1 0.9033925579026024
0 1 0 4 1 0 2 4 5 0.8496339623293118
0 1 0 0 1 1 2 3 5 0.0007625331282686526
0 0 2 1 0 0 1 5 3 0.816588519428747
0 1 2 1 2 1 2 4 0 0.8628105900384468
0 1 0 2 3 1 1 5 1 0.37545391031188785
1 0 1 2 1 0 2 1 1 0.7030722364837327
1 0 2 2 0 0 1 2 1 0.726383235014645
0 1 0 4 1 0 3 0 0 0.5035977897219637
1 0 1 1 3 1 0 3 5 0.0037275610300289324
0 1 0 2 3 1 2 1 2 0.35223999650818477
0 0 0 2 0 1 1 3 1 0.0024331104572444923
0 0 1 1 3 0 3 3 5 0.012233987441305655
0 1 2 1 1 0 2 2 4 0.7950862532680396
1 1 0 2 3 1 0 3 4 0.0006105796741189712
0 0 0 2 1 1 2 2 4 0.7849898014569059
1 1 1 0 3 1 0 0 4 0.8983344506309089
1 1 2 2 1 1 2 0 0 0.28788260002272675
1 0 0 0 2 0 3 2 1 0.5529167852973361
1 1 2 1 1 0 3 5 1 0.47034250427408864
0 0 2 2 1 0 0 2 5 0.6871715054861687
0 0 2 0 0 0 0 0 4 0.7229545728872543
1 1 2 0 3 0 1 5 0 0.9754510018154541
1 0 2 0 1 0 1 3 1 0.00068272742897484
0 0 3 3 3 0 1 5 2 0.5757612793242619
1 1 1 4 1 0 0 3 3 0.0002907303331785098
0 1 0 0 3 0 1 5 2 0.6676261978317218
0 0 3 3 3 0 1 0 1 0.46012578912559954
1 0 2 1 0 0 3 5 0 0.4405268624765564
1 0 1 2 3 1 0 2 2 1.1083436911264106
0 1 0 0 0 1 2 4 1 0.9370336353603713
1 0 0 2 1 1 0 0 0 0.2472870667288088
1 1 2 0 1 1 3 3 5 0.0008221494486250622
0 1 0 1 1 0 3 2 2 0.5703192571487843
